"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
2513453,"January 29, 2023","New York",Buffalo,"E Delavan Ave and Bailey Ave",0,1,N/A
2513435,"January 28, 2023",Ohio,Columbus,"700 block of Frebis Ave",0,1,N/A
2513421,"January 28, 2023",Alabama,Huntsville,"4000 block of University Dr",1,0,N/A
2513418,"January 28, 2023",Alabama,Huntsville,"4000 block of University Dr",0,0,N/A
2513414,"January 28, 2023",Connecticut,"West Haven","644 Campbell Ave",0,1,N/A
2513396,"January 28, 2023","New Jersey",Newark,"203 Shephard Ave",0,1,N/A
2513409,"January 28, 2023",Ohio,Cincinnati,"W Seymour Ave",0,1,N/A
2513044,"January 28, 2023",California,"Beverly Hills","2799 Ellison Dr",3,4,N/A
2513370,"January 28, 2023",Florida,Miami,"1901 NW 79th St",1,1,N/A
2513383,"January 28, 2023",Ohio,Cincinnati,"Pulte St",1,0,N/A
2513381,"January 28, 2023",Illinois,Rockford,"200 block of W State St",0,1,N/A
2513378,"January 28, 2023",Louisiana,Shreveport,"700 block of E Kings Hwy",1,0,N/A
2513366,"January 28, 2023","New York","New York (Manhattan)","Canal St and Broadway",0,1,N/A
2513314,"January 28, 2023",Mississippi,"Olive Branch","7890 Craft-Goodman Frontage Rd",0,1,N/A
2513285,"January 28, 2023",Louisiana,Clinton,"Spring St",0,1,N/A
2513283,"January 28, 2023",Illinois,"Oak Forest","Cicero Ave and 155th St",1,0,N/A
2513281,"January 28, 2023",Tennessee,Memphis,"Beale St",1,0,N/A
2513253,"January 28, 2023",Tennessee,Clarksville,"1504 Fort Cambell Blvd",1,2,N/A
2513275,"January 28, 2023",Illinois,Chicago,"7601 Cicero Ave",0,2,N/A
2513246,"January 28, 2023",Indiana,"Fort Wayne","9000 block of Dartford Court",1,1,N/A
2513244,"January 28, 2023",Colorado,"Colorado Springs","2100 block of E Fountain Blvd",0,1,N/A
2513203,"January 28, 2023","District of Columbia",Washington,"1800 block of 28th Pl SE",0,1,N/A
2513218,"January 28, 2023",Maryland,Baltimore,"3400 block of E Fairmount Ave",0,1,N/A
2513205,"January 28, 2023",Oklahoma,"Oklahoma City","2119 SW 39th St",0,1,N/A
2513006,"January 28, 2023",Alaska,Anchorage,"W 3rd Ave and G St",1,1,N/A
2513183,"January 28, 2023",Arizona,Pinetop,"Ravens Way",0,1,N/A
2513153,"January 28, 2023","North Carolina","Winston Salem (Winston-salem)","US-421 and Jonestown Rd",0,1,N/A
2513144,"January 28, 2023",Kansas,Wichita,"101 N Rock Island Ave",0,3,N/A
2513138,"January 28, 2023","North Carolina",Greensboro,"2800 block of Pinecroft Rd",0,2,N/A
2513115,"January 28, 2023",Florida,Casselberry,"2520 Caper Ln",1,0,N/A
2513113,"January 28, 2023",Pennsylvania,Pittsburgh,"Shamokin St",0,1,N/A
2513091,"January 28, 2023",Texas,"Fort Worth","3409 Miller Ave",0,1,N/A
2513042,"January 28, 2023",Pennsylvania,Philadelphia,"5600 block of Rising Sun Ave",1,0,N/A
2513037,"January 28, 2023",Indiana,Indianapolis,"1900 block of N Oxford St",1,0,N/A
2513034,"January 28, 2023",Illinois,Joliet,"600 block of Wheeler Ave",0,2,N/A
2513026,"January 28, 2023",Illinois,Chicago,"100 block of W 127th St",0,1,N/A
2513023,"January 28, 2023",Illinois,Chicago,"5400 block of S Damen Ave",0,2,N/A
2513411,"January 28, 2023","New Jersey",Newark,"203 Shephard Ave",0,1,N/A
2513472,"January 28, 2023","New Jersey",Trenton,"50 block of Eisenhower Ave",0,2,N/A
2513465,"January 28, 2023",Massachusetts,Holyoke,"50 Holyoke St",1,0,N/A
2513354,"January 28, 2023",Maryland,Baltimore,"Pennsylvania Ave and Laurens St.",1,3,N/A
2513455,"January 28, 2023",Mississippi,Greenwood,"Chickasaw St and Monroe St",0,1,N/A
2512936,"January 27, 2023","New York",Syracuse,"100 block of S Alvord St",0,1,N/A
2513433,"January 27, 2023",Ohio,Columbus,"3300 block of Quaker Rd",0,1,N/A
2513431,"January 27, 2023",Alabama,Montgomery,"1100 block of Marlowe Dr",0,1,N/A
2512934,"January 27, 2023",Kentucky,Louisville,"4500 block of South 6th St",0,1,N/A
2513428,"January 27, 2023",Alabama,Montgomery,N/A,0,2,N/A
2513426,"January 27, 2023",Ohio,Ashland,"500 block of Township Rd 851",1,0,N/A
2512922,"January 27, 2023",Minnesota,"Saint Paul","Pendersen St and Conway St",0,1,N/A
2512931,"January 27, 2023",Texas,Spring,"20131 North Fwy",1,0,N/A
2512926,"January 27, 2023",Minnesota,Minneapolis,"N Washington Ave and N 2nd St",0,1,N/A
2512924,"January 27, 2023",Louisiana,Shreveport,N/A,0,1,N/A
2512920,"January 27, 2023",Illinois,Chicago,"400 block of N Peshtigo Ct",0,1,N/A
2512910,"January 27, 2023",Illinois,Chicago,"6900 block of S Lafayette Ave",0,1,N/A
2512904,"January 27, 2023",Illinois,Chicago,"900 S Western Ave",0,1,N/A
2512887,"January 27, 2023",Missouri,"Saint Louis","2100 block of Stansbury St",0,1,N/A
2513394,"January 27, 2023",Ohio,Cincinnati,"E Seymour Ave and Reading Rd",0,1,N/A
2513387,"January 27, 2023","New York",Nyack,"100 Nyack Plaza",0,1,N/A
2512880,"January 27, 2023",Michigan,Lansing,"E Miller Rd and S Cedar St",0,1,N/A
2512938,"January 27, 2023","New York",Rochester,"1416 Culver Rd",1,0,N/A
2512847,"January 27, 2023",Kentucky,Louisville,"4400 block of Manslick Road",0,1,N/A
2512871,"January 27, 2023",Missouri,"Kansas City","3400 block of Chestnut Ave",1,1,N/A
2513361,"January 27, 2023",Louisiana,"New Orleans","1800 block of S Rampart St",0,2,N/A
2512865,"January 27, 2023",Missouri,"Kansas City","2100 block of E 24th Ter",1,0,N/A
2513350,"January 27, 2023",Louisiana,Bogalusa,"1015 Union Ave",0,1,N/A
2512854,"January 27, 2023",Tennessee,Memphis,"Macon Rd and Berclair Rd",0,1,N/A
2512761,"January 27, 2023",Virginia,Richmond,"1300 block of St Paul St",2,0,N/A
2512771,"January 27, 2023",Tennessee,Nashville,"182 Lafayette St",1,0,N/A
2512800,"January 27, 2023",Tennessee,Memphis,"3700 block of Maple Leaf Cove",0,1,N/A
2513268,"January 27, 2023",Louisiana,Metairie,"S Cumberland St and Milan St",1,1,N/A
2512721,"January 27, 2023",Indiana,Indianapolis,"9500 block of Village Way",1,0,N/A
2512694,"January 27, 2023",Louisiana,"New Orleans","600 block of St Louis St",0,1,N/A
2512692,"January 27, 2023",Louisiana,"New Orleans","I-10 and Bullard Ave",0,1,N/A
2513191,"January 27, 2023",Arizona,"Bullhead City","1600 Silver Creek Rd",0,2,N/A
2512656,"January 27, 2023",Arkansas,Jonesboro,"100 block of Co Rd 457",1,0,N/A
2513215,"January 27, 2023","New Mexico",Albuquerque,"200 block of Atrisco Vista SW",1,1,N/A
2513213,"January 27, 2023",Maryland,"Middle River","7500 block of Clear Lake Ln",0,1,N/A
2513207,"January 27, 2023",Oklahoma,Tulsa,"550 E 32nd St N",0,1,N/A
2512985,"January 27, 2023",California,"San Diego","62nd St and Akins Ave",1,3,N/A
2513159,"January 27, 2023",Arizona,Phoenix,"36th Ave and Missouri Ave",1,0,N/A
2513157,"January 27, 2023","North Carolina",Chadbourn,"100 block of S Pine St",0,1,N/A
2512539,"January 27, 2023",Arizona,"El Mirage","12701 N Main St",0,0,N/A
2513126,"January 27, 2023",Missouri,"Saint Louis","3200 block of N 19th St",1,0,N/A
2513119,"January 27, 2023",Florida,"Haines City","N 7th St",0,1,N/A
2512468,"January 27, 2023",Alabama,Dothan,"100 block of Michigan Ave",0,1,N/A
2512463,"January 27, 2023",Maryland,Baltimore,"3900 block of Belvieu Ave",1,0,N/A
2512460,"January 27, 2023",Maryland,Baltimore,"409 E Baltimore St",0,1,N/A
2512455,"January 27, 2023",Maryland,Baltimore,"2202 Presstman St",0,0,N/A
2513108,"January 27, 2023",California,"Los Angeles","1200 block of W 110th St",1,0,N/A
2513106,"January 27, 2023",Florida,"Miami Beach","Washington Ave and Ninth St",0,1,N/A
2513097,"January 27, 2023",Texas,"Fort Worth","E Magnolia Ave",0,1,N/A
2513093,"January 27, 2023",Texas,"Fort Worth","3400 block of Meadowbrook Dr",0,1,N/A
2513079,"January 27, 2023",Texas,"San Antonio","6100 block of Deep Valley Dr",0,1,N/A
2512943,"January 27, 2023",Texas,Houston,"101 Hollow Tree Ln",1,0,N/A
2512437,"January 27, 2023",Georgia,Carnesville,"485 Turkey Creek Rd",0,0,N/A
2512425,"January 27, 2023",Georgia,Atlanta,"2778 Vineyard Dr",0,1,N/A
2513061,"January 27, 2023",Georgia,Atlanta,"1295 Niskey Lake Rd SW",0,1,N/A
2513039,"January 27, 2023",Georgia,Albany,"2706 N Slappey Blvd",1,0,N/A
2512418,"January 27, 2023",Georgia,Atlanta,"30 Marietta St NW",1,0,N/A
2512405,"January 27, 2023",Illinois,Chicago,"E 114th St and S Forrestville Ave",0,1,N/A
2512737,"January 27, 2023",Illinois,Chicago,"9549 S Bennett Ave",2,0,N/A
2513021,"January 27, 2023",Washington,Seattle,"5th Ave NE and NE 42nd St",1,0,N/A
2512998,"January 27, 2023","District of Columbia",Washington,"5th St NW and Tuckerman St NW",0,1,N/A
2512996,"January 27, 2023","District of Columbia",Washington,"Nash St NE and 49th St NE",0,1,N/A
2512993,"January 27, 2023",Virginia,Alexandria,"4641 Kenmore Ave",0,1,N/A
2512983,"January 27, 2023",Ohio,Cleveland,"East 93rd St and WadePark Ave",0,1,N/A
2513141,"January 27, 2023","New Hampshire",Manchester,"50 Old Granite St",1,0,N/A
2512973,"January 27, 2023",Texas,Victoria,"2402 N Ben Wilson St",0,2,N/A
2512970,"January 27, 2023",Texas,"San Antonio","400 block of Trudell Dr",2,0,N/A
2512297,"January 26, 2023","New York",Utica,"James St and Dudley Ave",0,1,N/A
2512295,"January 26, 2023",Kentucky,Louisville,"500 block of Cooper St",1,0,N/A
2512276,"January 26, 2023",Ohio,Columbus,"2400 block of Eakin Rd",1,0,N/A
