"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
2493347,"January 2, 2023",Tennessee,Knoxville,"4956 Clinton Hwy",0,0,N/A
2493325,"January 2, 2023",Michigan,Detroit,"2900 block of Bewick St",1,1,N/A
2493319,"January 2, 2023",Minnesota,Minneapolis,"Nicollet Ave and Groveland Ave",0,1,N/A
2493304,"January 2, 2023","District of Columbia",Washington,"37th St SE and Ridge Rd SE",0,1,N/A
2493294,"January 2, 2023",Maryland,"District Heights","5448 Marlboro Pike",0,1,N/A
2493292,"January 2, 2023",Wisconsin,Milwaukee,"N Holton St and E Keefe Ave",0,1,N/A
2493275,"January 2, 2023",Wisconsin,Milwaukee,"1535 W North Ave",0,1,N/A
2493248,"January 2, 2023","North Carolina",Lillington,"Capitol Hill Rd and River Rd",1,0,N/A
2493222,"January 2, 2023",Florida,"Lake Wales","Laura St",0,1,N/A
2493212,"January 2, 2023",Florida,"Lake Wales","2500 block of Appaloosa Rd",0,1,N/A
2493178,"January 2, 2023",Indiana,"South Bend","1336 Lincoln Way W",0,1,N/A
2493174,"January 2, 2023",Florida,Jacksonville,"1100 block of W 31st St",1,0,N/A
2493153,"January 2, 2023",Indiana,Anderson,"200 block of Beverly Ct",0,1,N/A
2493118,"January 2, 2023",Maryland,Baltimore,"6500 block of Belair Rd",0,1,N/A
2493116,"January 2, 2023","District of Columbia",Washington,"First St SE and Atlantic St SE",1,0,N/A
2493114,"January 2, 2023","District of Columbia",Washington,"14th St NW and Quincy St NW",0,1,N/A
2493085,"January 2, 2023",Texas,Houston,"4600 Old Spanish Trl",0,1,N/A
2493082,"January 2, 2023",Texas,Houston,"9800 block of Meadowglen Ln",0,1,N/A
2493073,"January 2, 2023",Texas,"San Antonio","4141 I-10 Frontage Rd",0,1,N/A
2492988,"January 2, 2023",Kentucky,Louisville,"1800 block of W Gaulbert Ave",1,0,N/A
2492981,"January 1, 2023",Pennsylvania,Philadelphia,"1900 block of W Montgomery Ave",0,1,N/A
2492979,"January 1, 2023",Pennsylvania,Philadelphia,"5900 block of Master St",0,1,N/A
2492490,"January 1, 2023",Iowa,"Des Moines","3720 Martin Luther King Jr Pkwy",1,2,N/A
2492592,"January 1, 2023",Pennsylvania,Philadelphia,"4100 block of N Broad St",0,1,N/A
2492971,"January 1, 2023",Maryland,"Oxon Hill","600 block of Audrey Ln",0,1,N/A
2492579,"January 1, 2023",Pennsylvania,Philadelphia,"5600 block of Walnut St",0,1,N/A
2492470,"January 1, 2023",Massachusetts,Boston,"1601 Blue Hill Ave",1,1,N/A
2492945,"January 1, 2023",Texas,"Rio Grande City (Escobares)","Pena St",0,3,N/A
2492936,"January 1, 2023",Illinois,Peoria,"3200 block of N Prospect Rd",0,1,N/A
2492932,"January 1, 2023",Pennsylvania,"Old Forge","107 N Keyser Ave",0,1,N/A
2492930,"January 1, 2023",Colorado,Denver,"1500 block of Court Pl",0,1,N/A
2492882,"January 1, 2023",Nebraska,Lincoln,"300 block of Vine St",0,2,N/A
2492898,"January 1, 2023",Nebraska,Omaha,"N 61st Ave and Ogden St",0,1,N/A
2492875,"January 1, 2023","New York",Buffalo,"50 block of Ladner Ave",0,2,N/A
2492863,"January 1, 2023","North Carolina",Maxton,"800 block of John L Rd",1,0,N/A
2492791,"January 1, 2023",Illinois,"Orland Park","8500 block of 145th Pl",2,0,N/A
2492848,"January 1, 2023",California,Modesto,"1300 block of Ricardo Way",0,1,N/A
2492844,"January 1, 2023",Missouri,"Saint Louis (Jennings)","8800 block of Blewett Ave",1,0,N/A
2492835,"January 1, 2023",Missouri,Independence,"9013 E US Hwy 40",1,0,N/A
2492818,"January 1, 2023","New Jersey",Newark,"100 block of Rose Terrace",1,0,N/A
2492807,"January 1, 2023",Maryland,"Hyattsville (Adelphi)","9200 New Hampshire Ave",0,1,N/A
2492796,"January 1, 2023","North Carolina",Charlotte,"3500 block of W Tyvola Rd",1,0,N/A
2492794,"January 1, 2023",Tennessee,Memphis,"2900 block of Airways Blvd",0,1,N/A
2492771,"January 1, 2023",Mississippi,Vicksburg,"MacArthur Dr",0,1,N/A
2492601,"January 1, 2023",Illinois,Chicago,"300 block of E 57th St",1,3,N/A
2492751,"January 1, 2023",Virginia,Roanoke,"3600 block of Williamson Rd NE",0,1,N/A
2492726,"January 1, 2023","North Carolina",Greensboro,"Cridland Rd and E Wendover Ave",1,0,N/A
2492744,"January 1, 2023",Illinois,Champaign,"1500 block of Kings Way",0,1,N/A
2492742,"January 1, 2023",Ohio,Cleveland,"E 76th Pl and Superior Ave",0,1,N/A
2492740,"January 1, 2023",Virginia,Norfolk,"700 block of A Ave",0,1,N/A
2492738,"January 1, 2023",Virginia,Norfolk,"500 block of Walker Ave",0,1,N/A
2492732,"January 1, 2023","North Carolina","Winston Salem (Winston-salem)","2700 Gilmer Ave NE",0,1,N/A
2492516,"January 1, 2023",Minnesota,Minneapolis,"4430 N Lyndale Ave",1,1,N/A
2492722,"January 1, 2023","North Carolina","Winston Salem (Winston-salem)","100 Capitol Lodging Ct",1,0,N/A
2492702,"January 1, 2023",Indiana,Kokomo,"2300 block of Walton Lake Dr",0,1,N/A
2492715,"January 1, 2023",Ohio,Springfield,"100 block of S Race St",0,2,N/A
2492686,"January 1, 2023","North Carolina","Gastonia (Ranlo)","Burlington Ave",1,0,N/A
2492707,"January 1, 2023",Ohio,Columbus,"1300 block of E 26th Ave",0,1,N/A
2492705,"January 1, 2023","North Carolina",Charlotte,"900 block of Moretz Ave",1,0,N/A
2492694,"January 1, 2023","North Carolina",Charlotte,"300 block of Blackhawk Rd",1,0,N/A
2492696,"January 1, 2023",Virginia,Hayes,"7800 block of Guinea Rd",1,1,N/A
2492684,"January 1, 2023",Minnesota,Minneapolis,"4000 block of 22nd Ave S",0,1,N/A
2492611,"January 1, 2023","North Carolina",Durham,"1000 N Miami Blvd",0,5,N/A
2492477,"January 1, 2023",Florida,"Milton (Pace)","3900 block of Deerwood Cir",1,0,N/A
2492633,"January 1, 2023",Tennessee,Nashville,"1000 block of Wedgewood Ave",0,1,N/A
2492627,"January 1, 2023",Tennessee,Memphis,"6135 Mt Moriah Rd",0,3,N/A
2492623,"January 1, 2023",Ohio,Cincinnati,"11000 block of Quaildridge Ct",0,1,N/A
2492620,"January 1, 2023",Tennessee,Memphis,"Harvest Knoll Ln",0,2,N/A
2492608,"January 1, 2023",Ohio,Cincinnati,"700 block of Purcell Ave",1,1,N/A
