"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
2501167,"January 12, 2023",Ohio,Columbus,"5000 Block of E Livingston Ave",0,1,N/A
2501118,"January 12, 2023",Ohio,Columbus,"1300 block of S 17th St",0,1,N/A
2501151,"January 12, 2023","New York",Depew,"Darwin Dr",0,1,N/A
2501128,"January 12, 2023",Alabama,Samson,N/A,1,0,N/A
2501096,"January 12, 2023",Minnesota,"Saint Paul","100 block of Carmel Ave W",0,1,N/A
2501114,"January 12, 2023",Oklahoma,Tulsa,"1010 N 92nd Plz",0,1,N/A
2501109,"January 12, 2023",Virginia,Richmond,"4000 Midlothian Turnpike",1,1,N/A
2501107,"January 12, 2023",Illinois,Chicago,"11000 block of S Michigan Ave",0,1,N/A
2501073,"January 12, 2023",Kentucky,Frankfort,"I-64 and KY-151",0,1,N/A
2501098,"January 12, 2023",Nebraska,Omaha,"4410 N 36th St",0,0,N/A
2501084,"January 12, 2023",Minnesota,Minneapolis,"4000 block of 25th Ave S",0,1,N/A
2501081,"January 12, 2023",Ohio,Cleveland,"4000 block of E 68th St",1,0,N/A
2501079,"January 12, 2023",Kansas,Wichita,"N Lorraine Ave and E 11th St N",0,1,N/A
2501068,"January 12, 2023",Michigan,Detroit,"1100 block of S Liebold St",0,1,N/A
2501066,"January 12, 2023",Michigan,Detroit,N/A,0,1,N/A
2501063,"January 12, 2023",Kentucky,Louisville,"1400 block of Lillian Ave",0,1,N/A
2501061,"January 12, 2023",Maryland,"Hyattsville (Cheverly)","5800 Newton St",0,1,N/A
2501059,"January 12, 2023",Kentucky,Louisville,"1000 block of S 2nd St",0,1,N/A
2501048,"January 12, 2023",Missouri,"Saint Joseph","422 N 16th St",0,1,N/A
2501035,"January 12, 2023",Kansas,Lenexa,"I-435 and K-10",1,0,N/A
2501032,"January 12, 2023","New York","Rochester (Greece)","500 Paddy Creek Cir",0,1,N/A
2501022,"January 12, 2023","New York",Bronx,"Lafayette Ave and Hollywood Ave",0,1,N/A
2500969,"January 12, 2023",Virginia,Troutville,"Westview Rd",0,1,N/A
2501010,"January 12, 2023",Missouri,"Kansas City","700 block of Lewis Ave",1,2,N/A
2500982,"January 12, 2023",Minnesota,Minneapolis,"S 6th St and 15th Ave S",1,0,N/A
2500962,"January 12, 2023",Wisconsin,Milwaukee,"W Lancaster Ave and N 41st St",0,1,N/A
2500934,"January 12, 2023",Delaware,Wilmington,"2900 block of N Tatnall St",0,1,N/A
2500595,"January 12, 2023","District of Columbia",Washington,"14th St NW and V St NW",0,2,N/A
2500920,"January 12, 2023",Indiana,Indianapolis,"200 block of N Walcott St",2,0,N/A
2500884,"January 12, 2023",Nevada,Henderson,"400 block of Tranquil Peak Ct",0,1,N/A
2500807,"January 12, 2023",Maryland,Riva,"421 Porpoise Ln",0,1,N/A
2500758,"January 12, 2023",Maryland,Baltimore,"50 block of W Biddle St",1,0,N/A
2501219,"January 12, 2023",Texas,"College Station","600 block of University Oaks Blvd",0,1,N/A
2501176,"January 11, 2023",Texas,Richardson,"901 South Coit Rd",1,0,N/A
2501169,"January 11, 2023",Ohio,Columbus,"1500 Block of Morse Rd",0,2,N/A
2501160,"January 11, 2023",Alabama,"Hope Hull","200 block of George St",1,0,N/A
2500501,"January 11, 2023",Louisiana,"Abita Springs","LA-36 and Nursery St",0,1,N/A
2500408,"January 11, 2023","West Virginia",Charleston,"Spring St and Bullitt St",1,0,N/A
2501088,"January 11, 2023",Alabama,Dothan,"900 block of E Selma St",0,1,N/A
2500468,"January 11, 2023","District of Columbia",Washington,"830 Bladensburg Rd NE",0,1,N/A
2500444,"January 11, 2023",Illinois,Chicago,"251 E 121 Pl",0,1,N/A
2500387,"January 11, 2023",Virginia,Portsmouth,"3300 block of  Turnpike Rd",1,1,N/A
2501122,"January 11, 2023",Ohio,Columbus,"1500 E Broad St",0,0,N/A
2500439,"January 11, 2023",Illinois,Chicago,"5000 block of W Concord Pl",0,1,N/A
2500437,"January 11, 2023",Illinois,Chicago,"5300 block of S Princeton Ave",0,1,N/A
2500972,"January 11, 2023",Virginia,Roanoke,"2300 block of Delaware Ave NW",1,0,N/A
2500414,"January 11, 2023",Illinois,Chicago,"2700 block of S Kildare Ave",0,1,N/A
2500764,"January 11, 2023",Colorado,Denver,"4600 block of Peoria St",1,0,N/A
2500305,"January 11, 2023",Illinois,Rockford,"2324 N Court St",1,0,N/A
2500460,"January 11, 2023",Kentucky,Louisville,N/A,0,2,N/A
2500750,"January 11, 2023",Missouri,"Saint Robert","16000 block of Hobo Ln",1,0,N/A
2500384,"January 11, 2023",Massachusetts,Boston,"Valentine St and Washington St",0,2,N/A
2500505,"January 11, 2023",Kentucky,Lexington,"500 block of Angliana Ave",0,1,N/A
2501044,"January 11, 2023",Missouri,"Lees Summit","4600 block of NE Whispering Winds Dr",0,1,N/A
2501037,"January 11, 2023",Maryland,Baltimore,"2100 block of Madison Ave",0,1,N/A
2500724,"January 11, 2023",Missouri,Columbia,"4201 Clark Ln",1,0,N/A
2500382,"January 11, 2023",Virginia,Portsmouth,"300 block of West Rd",0,1,N/A
2500740,"January 11, 2023",Missouri,Washington,"2621 E 5th St",1,1,N/A
2501027,"January 11, 2023",Missouri,"Saint Louis","5100 block of Ashland Ave",0,1,N/A
2501005,"January 11, 2023",Michigan,"Mount Morris","11000 block of Harvard Ct",1,0,N/A
2500364,"January 11, 2023",Virginia,Hampton,"Big Bethel Rd and Todds Ln",1,1,N/A
2500362,"January 11, 2023",Pennsylvania,Philadelphia,"217 E Tioga St",0,1,N/A
2500354,"January 11, 2023",Florida,Tallahassee,"550 E Tennessee St",0,0,N/A
2500967,"January 11, 2023",Wisconsin,Milwaukee,"N 27th St and W Highland Blvd",0,1,N/A
2500964,"January 11, 2023",California,Vista,"1575 Bonair Rd",0,0,N/A
2500660,"January 11, 2023",California,"Santa Clarita","24201 W Valencia Blvd",1,0,N/A
2500959,"January 11, 2023",Connecticut,Bridgeport,"700 block of Frenchtown Rd",0,1,N/A
2500662,"January 11, 2023",California,"Los Angeles","Flower St and 7th St",0,1,N/A
2500323,"January 11, 2023",Texas,Palestine,"233 Ben Milam Rd Dr",0,0,N/A
2500950,"January 11, 2023",Illinois,Chebanse,"I 57",2,0,N/A
2500946,"January 11, 2023",Illinois,"Poplar Grove","6615 Evans Dr",2,0,N/A
2500412,"January 11, 2023",Tennessee,Madison,"598 E Old Hickory Blvd",1,0,N/A
2500936,"January 11, 2023",Michigan,Davison,"100 block of W. Third St",2,0,N/A
2500220,"January 11, 2023",Wisconsin,Milwaukee,"8000 block of W Hampton Ave",0,1,N/A
2500060,"January 11, 2023",Illinois,Chicago,"9711 S Ewing Ave",0,1,N/A
2500470,"January 11, 2023","District of Columbia",Washington,"14th St NW and Sheridan St NW",0,3,N/A
2500435,"January 11, 2023",Indiana,Greenwood,"I-65 and County Line Rd",1,0,N/A
2500063,"January 11, 2023",Illinois,Chicago,"3457 W Sunnyside Ave",0,1,N/A
2500215,"January 11, 2023",Florida,Kissimmee,"Boggy Terrace Dr and Simpson Rd",0,1,N/A
2500200,"January 11, 2023",Florida,"Panama City","3901 US-98",1,0,N/A
2500190,"January 11, 2023",Ohio,"Youngstown (Boardman)","Albert St and McGuffey Rd",0,1,N/A
2500187,"January 11, 2023",Ohio,Youngstown,"300 block of Edwards Ave",0,1,N/A
2500465,"January 11, 2023","District of Columbia",Washington,"3900 block of S Capitol St SE",1,1,N/A
2500173,"January 11, 2023",Florida,Hilliard,"Barbara Ln",1,0,N/A
2500121,"January 11, 2023",Texas,Houston,"9500 block of Westpark Dr",0,1,N/A
2500608,"January 11, 2023",Alabama,Birmingham,"1800 block of Aspen Run.",1,0,N/A
2500127,"January 11, 2023",Arizona,Tempe,"Mariana St and Orange St",0,1,N/A
2500360,"January 11, 2023",Pennsylvania,Philadelphia,"1400 block of W Erie Ave",1,0,N/A
2500114,"January 11, 2023","North Carolina",Aberdeen,"100 block of Armstrong Ln",0,1,N/A
2500857,"January 11, 2023",Indiana,Elkhart,"700 block of W Garfield Ave",0,1,N/A
2500094,"January 11, 2023",Maryland,Baltimore,"3000 block of McElderrly St",0,1,N/A
2500851,"January 11, 2023",Florida,Longwood,"2400 block of Jennifer Hope Blvd",2,0,N/A
2500847,"January 11, 2023",Florida,"Lake Worth (Palm Springs)","Almar Rd and Lakewood Rd",3,0,N/A
2500840,"January 11, 2023",Texas,Lubbock,"4300 block of Canton Ave",0,1,N/A
2500829,"January 11, 2023",Pennsylvania,Allentown,"701 Harrison St",0,2,N/A
2500583,"January 11, 2023",California,"North Hollywood","13007 Victory Blvd",1,1,N/A
2500814,"January 11, 2023",Missouri,"Saint Louis","5557 Milburn Rd",0,0,N/A
2500768,"January 11, 2023",Colorado,Denver,"1500 block of W 44th Ave",0,1,N/A
2500070,"January 11, 2023",Pennsylvania,Pittsburgh,"2000 block of Broadway Ave",0,1,N/A
2500802,"January 11, 2023",Pennsylvania,"Mc Kees Rocks (Mckees Rocks)","Valley St and Copeland St",0,3,N/A
2500799,"January 11, 2023",Illinois,Chicago,"7900 block of S Ingleside Ave",0,1,N/A
2500052,"January 11, 2023",Washington,Seattle,"2100 block of N Northgate Way",0,2,N/A
2500780,"January 11, 2023",Pennsylvania,Philadelphia,"3300 block of N Front St",0,1,N/A
2500773,"January 11, 2023",Pennsylvania,Philadelphia,"S 60th St and Catherine St",0,3,N/A
2500754,"January 11, 2023",Idaho,Pocatello,"400 block of W Griffith Rd",0,1,N/A
2500715,"January 11, 2023",Mississippi,Jackson,"4611 Hwy 55 N",0,2,N/A
2500678,"January 11, 2023",Arkansas,"Little Rock","7800 block of Nolen Dr",1,0,N/A
2500671,"January 11, 2023",Alabama,Ozark,"1518 Andrews Ave",1,0,N/A
2500666,"January 11, 2023",California,"Los Angeles","Reservoir St and Waterloo St",0,1,N/A
2500600,"January 11, 2023",Minnesota,Minneapolis,"818 Lowry Ave N",1,2,N/A
2500532,"January 11, 2023",Connecticut,"East Hartford","79 Lafayette Ave",0,1,N/A
2500628,"January 11, 2023",California,Fresno,"First St and Tulare Ave",0,1,N/A
2500625,"January 11, 2023",Alabama,Vincent,"500 block of Phillips Dr",0,1,N/A
2500622,"January 11, 2023",Wisconsin,Milwaukee,"N 53rd St and W Congress St",0,1,N/A
2500593,"January 11, 2023",Michigan,Detroit,"6900 Grandville Ave",0,1,N/A
2500529,"January 11, 2023",Connecticut,Hartford,"695 Broad St",0,1,N/A
2499557,"January 10, 2023",Michigan,Detroit,"Forrer St and Florence St",1,0,N/A
2499697,"January 10, 2023",Wisconsin,Milwaukee,"8300 block of W Appleton Ave",0,1,N/A
2499700,"January 10, 2023",Wisconsin,Milwaukee,"2700 block of S 16th St",0,1,N/A
2499706,"January 10, 2023",Wisconsin,Milwaukee,"4200 block of W Fond Du Lac Ave",0,1,N/A
2499901,"January 10, 2023",Minnesota,Minneapolis,"E 24th St and 3rd Ave S",0,1,N/A
2499845,"January 10, 2023",Ohio,Columbus,"1600 block of Oak St",1,0,N/A
2499859,"January 10, 2023",Texas,"China Spring","300 Freedman Dr",0,1,N/A
2499863,"January 10, 2023","New York","New York (Manhattan)","1760 Lexington Ave",0,1,N/A
2499806,"January 10, 2023",Kentucky,Louisville,"3100 block of Vermont Ave",2,1,N/A
2499430,"January 10, 2023",California,Stockton,"3304 W Hammer Ln",1,0,N/A
2499993,"January 10, 2023",Indiana,"Indianapolis (Lawrence)","46th St and Burrwood Dr",1,2,N/A
2499827,"January 10, 2023","New York",Bronx,"373 E 188th St",0,1,N/A
2499760,"January 10, 2023",Louisiana,"New Orleans","1200 block of S Roman St",0,1,N/A
2499801,"January 10, 2023",Louisiana,"New Orleans","10500 block of Hayne Blvd",0,1,N/A
2500227,"January 10, 2023",Michigan,Pontiac,"60 block of Surrey Ln",1,0,N/A
2499780,"January 10, 2023","New York",Syracuse,"500 block of Erie Blvd W",0,1,N/A
2499778,"January 10, 2023",Florida,Tampa,"N 50th St",0,1,N/A
2500542,"January 10, 2023",Kentucky,Stanford,"101 Old Fort Rd",0,1,N/A
2499772,"January 10, 2023",California,"San Diego","4700 block of Nogal Ave",1,2,N/A
2499823,"January 10, 2023","New York",Brooklyn,"5602 Church Ave",1,0,N/A
2499631,"January 10, 2023",Tennessee,Memphis,"400 block of Carpenter St",0,1,N/A
2499717,"January 10, 2023",Kentucky,Louisville,"4400 block of Woodgate Ln",0,1,N/A
2499833,"January 10, 2023","New York","Brewster (Southeast)","Pugsley Rd",1,0,N/A
2499719,"January 10, 2023","District of Columbia",Washington,"Good Hope Rd SE and 15th St SE",0,1,N/A
2499715,"January 10, 2023","District of Columbia",Washington,"E Capitol St SE and 49th St SE",0,1,N/A
2500309,"January 10, 2023","New Mexico",Albuquerque,"6900 Zuni Rd SE",0,2,N/A
2499699,"January 10, 2023",Delaware,"New Castle","713 E Basin Rd",0,0,N/A
2500482,"January 10, 2023",California,"San Diego","6200 block of Akins St",1,0,N/A
2499683,"January 10, 2023","South Carolina","Myrtle Beach","4807 US Highway 17 Bypass S",0,1,N/A
2499728,"January 10, 2023",Minnesota,Rochester,"4238 Manor Park Dr NW",1,0,N/A
2499677,"January 10, 2023","New Mexico",Albuquerque,"Grand Ave NE and Ortiz Dr NE",0,1,N/A
