"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
2498468,"January 8, 2023",Michigan,Detroit,"Grand River Ave and Monica St",0,1,N/A
2498466,"January 8, 2023",Michigan,Detroit,"Campbell St and Christiancy St",0,1,N/A
2498438,"January 8, 2023",Ohio,Toledo,"2000 block of Marlow Rd",0,2,N/A
2498402,"January 8, 2023",Texas,Houston,"9631 Jensen Dr",0,2,N/A
2498411,"January 8, 2023",Ohio,Columbus,"1100 block of W Mound St",0,1,N/A
2498399,"January 8, 2023","New York","Corona (Queens)","129-04 Liberty Ave",0,2,N/A
2498348,"January 8, 2023",Texas,Houston,"Chenevert St and St Joseph Pkwy",0,1,N/A
2498391,"January 8, 2023",Ohio,Columbus,"700 block of Butler Ave",1,0,N/A
2498389,"January 8, 2023","New York",Buffalo,"86 Academy St",0,1,N/A
2498384,"January 8, 2023","New York",Bronx,"3326 3rd Ave",0,1,N/A
2498382,"January 8, 2023",Arizona,Phoenix,"I-17 and W Camelback Ave",1,0,N/A
2498368,"January 8, 2023",Ohio,Amelia,"1792 E Ohio Pike",1,0,N/A
2498361,"January 8, 2023",Pennsylvania,Philadelphia,"66th Ave and Limekiln Pike",0,2,N/A
2498344,"January 8, 2023",Texas,Corsicana,"1615 W 1st Ave",1,0,N/A
2498314,"January 8, 2023",Florida,Tampa,"2600 block of E 111th Ave",1,1,N/A
2498249,"January 8, 2023",Pennsylvania,Pittsburgh,"100 block of E Agnew Ave",1,0,N/A
2498247,"January 8, 2023",Illinois,Peoria,"1900 block of N Wisconsin Ave",0,1,N/A
2498224,"January 8, 2023",Minnesota,Minneapolis,"I-394 and I-94",0,1,N/A
2498013,"January 8, 2023",Minnesota,Minneapolis,"930 Hennepin Ave",0,4,N/A
2498066,"January 8, 2023",Illinois,Joliet,"1200 block of Clement St",1,0,N/A
2498209,"January 8, 2023",Florida,"Miami (North Miami)","1800 block of NE 21st Ct",0,1,N/A
2498203,"January 8, 2023",Louisiana,"New Orleans","7800 block of Sand St",1,0,N/A
2498179,"January 8, 2023",Louisiana,Harvey,"2000 block of Manhattan Blvd",1,1,N/A
2498176,"January 8, 2023",Indiana,Avon,"10200 E County Rd 100 S",2,0,N/A
2498172,"January 8, 2023",Kentucky,Louisville,"1400 block of Sale Ave",1,0,N/A
2498166,"January 8, 2023",Utah,Ogden,"2200 block of Jefferson Ave",1,0,N/A
2498147,"January 8, 2023",Arkansas,Conway,"1900 block of Keathley Dr",0,3,N/A
2497948,"January 8, 2023",Alabama,Huntsville,"2817 Hwy 72 E",2,6,N/A
2498124,"January 8, 2023",Arkansas,Mayflower,"I-40 and AR-89",1,0,N/A
2498128,"January 8, 2023",California,"Santa Clarita","Spunky Canyon Rd and Bouquet Canyon Rd",1,0,N/A
2498098,"January 8, 2023",Missouri,"Saint Louis","1200 block of Sells Ave",1,0,N/A
2498088,"January 8, 2023","South Carolina",Andrews,"Smokethorn St",0,1,N/A
2498084,"January 8, 2023",California,Oakland,"Adeline St and 21st St",1,0,N/A
2498072,"January 8, 2023",Indiana,Evansville,"1100 block of S Weinbach Ave",0,1,N/A
2498074,"January 8, 2023",Missouri,"Kansas City","2000 block of E 73rd St",1,1,N/A
2498004,"January 8, 2023",Indiana,Indianapolis,"8000 block of E 38th St",0,1,N/A
2498064,"January 8, 2023",Hawaii,Waianae,N/A,0,1,N/A
2498059,"January 8, 2023","North Carolina",Charlotte,"Amble Dr and N Graham St",0,1,N/A
2498048,"January 8, 2023","North Carolina",Greensboro,"N Greene St",0,1,N/A
