"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
2562862,"April 2, 2023",Michigan,Lansing,"300 block of Michigan Ave",0,2,N/A
2562859,"April 2, 2023",Florida,"West Palm Beach","I 95 N and 45th St",2,0,N/A
2562855,"April 2, 2023",Oklahoma,Okmulgee,"1901 N Oklahoma Ave",0,1,N/A
2562833,"April 2, 2023",Ohio,Cleveland,"700 block of Parkwood Dr",1,0,N/A
2562837,"April 2, 2023",Ohio,Cleveland,"3155 Martin Luther King Jr Dr",0,1,N/A
2562831,"April 2, 2023",Oklahoma,"Oklahoma City","2308 S Western Ave",0,1,N/A
2562828,"April 2, 2023","South Carolina",Simpsonville,"Lake Lennox Dr",1,0,N/A
2562826,"April 2, 2023",Oklahoma,"Oklahoma City","1148 NE 36th St",1,0,N/A
2562816,"April 2, 2023",Kentucky,Lexington,"2100 block of Tamarack Dr",0,1,N/A
2562791,"April 2, 2023",Louisiana,"Lake Providence","260 Keene St",2,0,N/A
2562782,"April 2, 2023","North Carolina","Chapel Hill","1500 block of Mason Farm Rd",0,1,N/A
2562721,"April 2, 2023",Louisiana,"New Orleans","700 block of Bourbon St",0,3,N/A
2562764,"April 2, 2023",Michigan,"Grand Rapids","Bridge St NW and Seward Ave NW",0,1,N/A
2562753,"April 2, 2023",Georgia,Atlanta,"787 Cascade Ave SW",0,1,N/A
2562751,"April 2, 2023",Indiana,"Michigan City","200 block of Elm St",0,1,N/A
2562741,"April 2, 2023",Georgia,Macon,"3764 Log Cabin Dr",1,0,N/A
2562738,"April 2, 2023",Georgia,Albany,"1800 block of Melrose Dr",0,1,N/A
2562668,"April 2, 2023",Virginia,Sterling,"21100 Dulles Town Cir",0,1,N/A
2562732,"April 2, 2023",Ohio,Warren,"600 block of Lener Ave SW",1,1,N/A
2562680,"April 2, 2023",Ohio,Columbus,"45 Great Southern Blvd",1,0,N/A
2562673,"April 2, 2023",Ohio,Columbus,"2900 block of Azelda St",0,1,N/A
2562583,"April 2, 2023",California,"Los Angeles","Sunset Blvd and N Highland Ave",2,0,N/A
2562610,"April 2, 2023",Illinois,Chicago,"2800 block of W Wilson Ave",0,1,N/A
2562631,"April 2, 2023",California,"Moreno Valley","24700 block of Sunnymead Blvd",0,4,N/A
2562626,"April 2, 2023","District of Columbia",Washington,"1400 block of Downing St NE",0,1,N/A
2562613,"April 2, 2023",Indiana,Indianapolis,"10100 block of John Jay Dr",0,1,N/A
2562606,"April 2, 2023",Illinois,Chicago,"3000 block of N Cicero Ave",0,1,N/A
2562604,"April 2, 2023",Illinois,Chicago,"1300 block of W Roosevelt Rd",0,1,N/A
2562599,"April 2, 2023",Michigan,Wyoming,"44th St and Buchanan Ave SW",1,1,N/A
2562477,"April 1, 2023",Pennsylvania,York,"1st Ave",1,0,N/A
2562473,"April 1, 2023",Missouri,"Kansas City","1800 block of Cambridge Ave",1,0,N/A
2562471,"April 1, 2023",Illinois,Chicago,"4600 block of W Armitage Ave",0,1,N/A
2562469,"April 1, 2023",Illinois,Chicago,"6200 block of S Marshfield Ave",0,1,N/A
