"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
2728083,"October 11, 2023",Kansas,Olathe,"23500 block of West 126th Ter",0,0,1,0,0,N/A
2728081,"October 11, 2023",Illinois,Chicago,"6643 S Evans Ave",0,1,0,0,0,N/A
2728072,"October 11, 2023",Tennessee,Memphis,"3000 block of Faxon Ave",1,1,0,0,0,N/A
2728068,"October 11, 2023",Tennessee,Memphis,"Hacks Cross Rd and Marsha Woods Dr",0,1,0,0,0,N/A
2728050,"October 11, 2023",Illinois,Chicago,"5400 block of S Wells St",0,1,0,0,0,N/A
2728048,"October 11, 2023",Illinois,Chicago,"7200 block of S Champlain Ave",0,1,0,0,0,N/A
2728046,"October 11, 2023",Tennessee,Memphis,"300 block of Clower Rd",1,0,0,0,0,N/A
2728039,"October 11, 2023",Tennessee,Memphis,"6210 Winchester",0,0,0,1,0,N/A
2728006,"October 11, 2023",Texas,Longview,"400 block of Main St",0,2,0,0,0,N/A
2728009,"October 11, 2023","District of Columbia",Washington,"1350 49th St NE",0,1,0,0,0,N/A
2728023,"October 11, 2023","District of Columbia",Washington,"2100 block 16th St SE",0,1,0,0,0,N/A
2727979,"October 11, 2023",Utah,"Cedar Valley (Fairfield)","Manning Canyon Rd and Wells Canyon Rd",0,0,1,0,0,N/A
2727984,"October 11, 2023",Ohio,Youngstown,"Rush Blvd and Lucius Ave",0,1,0,0,0,N/A
2727977,"October 11, 2023","New York",Bronx,"2295 Grand Concourse",0,1,0,0,0,N/A
2727939,"October 11, 2023",Alabama,Bessemer,"3000 block of Lindsey Loop Rd",0,1,0,0,0,N/A
2727921,"October 11, 2023",Alabama,"Birmingham (Homewood)","W Valley Ave and Barber Ct",0,1,0,0,0,N/A
2727899,"October 11, 2023","South Carolina","Horry (county)",N/A,0,1,0,0,0,N/A
2727869,"October 11, 2023",Indiana,Indianapolis,"8520 Northwest Blvd",1,2,0,0,0,N/A
2727854,"October 11, 2023","South Carolina","North Charleston","2700 block of E Surrey Dr",1,0,0,0,0,N/A
2727819,"October 11, 2023",Washington,Spokane,"Garland Ave and Nettleton St",0,1,0,0,0,N/A
2727805,"October 11, 2023","North Carolina",Albemarle,"311 Park Ridge Rd",0,0,0,0,1,N/A
2727803,"October 11, 2023",Michigan,Lansing,"300 block of E Willard St",0,1,0,0,0,N/A
2727793,"October 11, 2023",Georgia,"Port Wentworth","Stemson Way",1,0,0,0,0,N/A
2727780,"October 11, 2023",California,Stockton,N/A,0,1,0,0,0,N/A
2727765,"October 11, 2023",Michigan,Kalamazoo,"Park Pl and S Park St",0,1,0,0,0,N/A
2727742,"October 11, 2023",Wisconsin,Milwaukee,"N 27th St and W Brown St",0,1,0,0,0,N/A
2727736,"October 11, 2023",Minnesota,"Saint Paul","University Ave W and Rice St",0,1,0,0,0,N/A
2727719,"October 11, 2023","North Carolina",Charlotte,"6600 block of Wenda Place",1,0,0,0,0,N/A
2727655,"October 11, 2023",Nevada,Henderson,"460 N Arroyo Grande Blvd",0,0,0,0,1,N/A
2727708,"October 11, 2023",Florida,"Spring Hill","Marquette St",1,1,0,0,0,N/A
2727705,"October 11, 2023",Florida,Auburndale,"Century Blvd and Lake Ariana Blvd",0,1,0,0,0,N/A
2727609,"October 11, 2023",Illinois,Quincy,"400 block of Scenic Dr",1,0,0,0,0,N/A
2727607,"October 11, 2023",Arizona,Phoenix,"1703 W Bethany Home Rd",0,1,0,0,0,N/A
