"Incident ID","Incident Date",State,"City Or County",Address,"Victims Injured","Victims Killed","Subjects-Suspects Injured","Subjects-Suspects Killed","Subjects-Suspects Arrested",Operations
2597332,"May 13, 2023",Arkansas,"Little Rock",N/A,1,0,0,0,1,N/A
2597330,"May 13, 2023",Texas,Houston,"7700 block of Elmwood St",1,0,0,0,0,N/A
2597328,"May 13, 2023",Texas,Houston,"5900 block of Brock St",1,0,0,0,0,N/A
2597146,"May 13, 2023",Texas,Houston,"6300 Beverly Hill St",0,1,0,0,0,N/A
2597054,"May 13, 2023",Arkansas,"North Little Rock","5801 Pritchard Rd",0,1,0,0,0,N/A
2597304,"May 13, 2023","District of Columbia",Washington,"2700 block of Wade Rd SE",1,0,0,0,0,N/A
2597301,"May 13, 2023",Massachusetts,Holyoke,"Lyman St and High St",1,1,0,0,0,N/A
2597297,"May 13, 2023","North Carolina",Charlotte,"1601 Remount Rd",0,1,0,0,0,N/A
2597271,"May 13, 2023",Maryland,"District Heights","6100 block of Blacksmith Dr",0,1,0,0,0,N/A
2597263,"May 13, 2023",Maryland,Baltimore,"1600 block of Vincent Ct",1,0,0,0,0,N/A
2597210,"May 13, 2023","District of Columbia",Washington,"V St NW and 13th St NW",0,1,0,0,0,N/A
2597249,"May 13, 2023","District of Columbia",Washington,"2900 block of Knox Pl SE",1,0,0,0,0,N/A
2597225,"May 13, 2023",Texas,Nacogdoches,"4500 block of E Main St",1,0,0,0,0,N/A
2597205,"May 13, 2023",California,Oakland,"1500 block of Eighth Ave",1,0,0,0,0,N/A
2597197,"May 13, 2023",California,Oakland,"1400 block of 34th Ave",1,0,0,0,0,N/A
2597203,"May 13, 2023","District of Columbia",Washington,"Stevens Rd SE and Firth Sterling Ave",1,0,0,0,0,N/A
2597193,"May 13, 2023",California,Oakland,"7600 block of Holly St",1,0,0,0,0,N/A
2597191,"May 13, 2023","District of Columbia",Washington,"1100 block of 17th St NW",1,0,0,0,0,N/A
2597189,"May 13, 2023",California,Oakland,N/A,1,0,0,0,0,N/A
2597172,"May 13, 2023",Texas,Houston,"979 Grenshaw St",1,1,0,0,0,N/A
2597168,"May 13, 2023","New York",Poughkeepsie,"Montgomery St and Market St",0,1,0,0,0,N/A
2597163,"May 13, 2023",Texas,"El Paso","9529 Viscount Blvd",1,0,0,0,0,N/A
2597134,"May 13, 2023",California,"Agoura Hills","29645 Strawberry Hill Dr",0,1,0,0,0,N/A
2597075,"May 13, 2023",Louisiana,Shreveport,"3600 block of Hollywood Ave",4,0,0,0,0,N/A
2597073,"May 13, 2023",Illinois,Chicago,"6700 block of S May St",1,0,0,0,0,N/A
2597069,"May 13, 2023",Illinois,Chicago,"5000 block of S Archer Ave",1,0,0,0,0,N/A
2597067,"May 13, 2023",Illinois,Chicago,"300 block of W 95th St",1,0,0,0,0,N/A
2597062,"May 13, 2023",Illinois,Chicago,"12400 block of S Halsted St",1,0,0,0,0,N/A
2597052,"May 13, 2023",Illinois,Chicago,"2700 block of S State St",0,1,0,0,0,N/A
2596958,"May 13, 2023",Hawaii,Waialua,"68-411 Farrington Hwy",0,0,0,1,0,N/A
2596539,"May 12, 2023",Virginia,Roanoke,"1919 10th St NW",1,0,0,0,0,N/A
2596571,"May 12, 2023",Virginia,Lynchburg,"1500 block of Longview Rd",0,0,1,0,0,N/A
2596885,"May 12, 2023",Tennessee,Nashville,"14th Ave S and Horton Ave",0,1,0,0,0,N/A
2596876,"May 12, 2023",Tennessee,"Lenoir City","1485 Old Hwy 95",1,0,0,0,0,N/A
2596871,"May 12, 2023",Arizona,Phoenix,"16th St and Southern Ave",2,0,0,0,0,N/A
2596857,"May 12, 2023",Missouri,"Saint Louis","4200 block of Humphrey St",1,0,0,0,0,N/A
2596823,"May 12, 2023",Minnesota,Minneapolis,"Chicago Ave and E 16th St",1,0,0,0,0,N/A
2596825,"May 12, 2023",Minnesota,Minneapolis,"N James Ave and N 43rd Ave",1,0,0,0,0,N/A
2596839,"May 12, 2023",Arizona,Globe,N/A,0,0,1,0,0,N/A
2596833,"May 12, 2023",Minnesota,Minneapolis,N/A,1,0,0,0,0,N/A
2596801,"May 12, 2023",Kentucky,Phelps,"35000 block of KY-194",0,1,0,0,1,N/A
2596815,"May 12, 2023",Texas,"El Paso","2720 N Mesa St",1,0,0,0,0,N/A
2595879,"May 12, 2023",Louisiana,"New Orleans","1009 N Claiborne Ave",0,2,0,0,0,N/A
2596519,"May 12, 2023",Texas,Amarillo,"1600 block of S Georgia St",0,0,2,0,2,N/A
2596776,"May 12, 2023","West Virginia",Chapmanville,N/A,1,0,0,0,1,N/A
2596768,"May 12, 2023","New York","New York (Manhattan)","830 Columbus Ave",1,0,0,0,0,N/A
2596714,"May 12, 2023","West Virginia",Bluefield,"Pen Mar Ave and View Ave",2,0,0,1,0,N/A
2596757,"May 12, 2023","New Mexico","Santa Fe","155 Calle Ojo Feliz",0,0,1,0,0,N/A
2596489,"May 12, 2023",Alabama,Birmingham,"Jefferson Ave SW",0,1,0,0,0,N/A
2596470,"May 12, 2023",Alabama,Birmingham,"1500 block of 19th St N",0,1,0,0,0,N/A
2596745,"May 12, 2023",Missouri,"Saint Louis","3600 block of Garfield Blvd",0,1,0,0,0,N/A
2596737,"May 12, 2023",Missouri,"Saint Louis","McLaren Ave and Goodfellow Blvd",0,2,0,0,0,N/A
2596719,"May 12, 2023",Florida,Miami,"1400 block of NW 1st Ct",2,0,0,0,0,N/A
2596685,"May 12, 2023",Michigan,"Grand Rapids","400 block of 36th St",1,0,0,0,0,N/A
2596703,"May 12, 2023","South Carolina",Graniteville,"555 Rennie St",0,1,0,1,0,N/A
2596709,"May 12, 2023","New York",Bronx,"748 E 229th St",1,0,0,0,0,N/A
2596706,"May 12, 2023",Texas,"San Antonio","109 San Martin St",0,0,1,0,0,N/A
2595905,"May 12, 2023","New York",Brooklyn,"1711 Ralph Ave",1,0,0,0,0,N/A
2596697,"May 12, 2023",Florida,"Miami Gardens","2600 block of NW 175th St",1,0,0,0,0,N/A
2596672,"May 12, 2023","South Carolina",Bennettsville,"301 Jefferson St",0,0,0,0,0,N/A
2596634,"May 12, 2023",California,"Los Angeles","5th St and San Julian St",1,0,0,0,0,N/A
2596628,"May 12, 2023",California,"Los Angeles","7724 Van Nuys Blvd",1,0,0,0,0,N/A
2596623,"May 12, 2023",California,"Los Angeles","129 W 98th St",1,0,0,0,0,N/A
2596625,"May 12, 2023",Tennessee,Chattanooga,N/A,1,0,0,0,0,N/A
2596593,"May 12, 2023",Pennsylvania,Philadelphia,"800 block of Hutton St",0,1,0,0,0,N/A
2596580,"May 12, 2023","South Carolina",Summerville,"1101 Boone Hill Rd",0,0,0,0,1,N/A
2596576,"May 12, 2023",Pennsylvania,Philadelphia,"900 block of S 23rd St",3,0,0,0,0,N/A
2596562,"May 12, 2023","South Carolina",Ridgeville,"Timothy Ln and SC-27",0,1,0,0,0,N/A
2596534,"May 12, 2023",Illinois,Chicago,"3345 W Harrison St",1,0,0,0,0,N/A
2596516,"May 12, 2023",Illinois,Chicago,"12000 block of S Normal Ave",1,0,0,0,0,N/A
2596498,"May 12, 2023",Illinois,Chicago,"2200 block of S Michigan Ave",1,0,0,0,0,N/A
2596491,"May 12, 2023",Illinois,Chicago,"3900 block of W Fillmore St",1,1,0,0,0,N/A
2596481,"May 12, 2023",Texas,Houston,"400 block of N Sam Houston Pkwy E",1,0,0,0,0,N/A
2596327,"May 12, 2023",Wisconsin,Milwaukee,"N 22nd St and W Brown St",1,0,0,0,0,N/A
2596319,"May 12, 2023",Virginia,Suffolk,"1000 block of Marsh Pointe Dr",0,1,0,0,0,N/A
2596323,"May 12, 2023",Wisconsin,Kenosha,"29th Ave and 51st St",1,0,0,0,1,N/A
2596317,"May 12, 2023",Wisconsin,Madison,"Rosemary Ave and Webb Ave",1,0,0,0,0,N/A
2597317,"May 12, 2023",Maine,Waterville,"Silver St",1,0,0,0,0,N/A
2596232,"May 12, 2023",Florida,"Pompano Beach","2300 block of NW Sixth St",0,1,0,0,0,N/A
2597177,"May 12, 2023","District of Columbia",Washington,"900 block of Varney St SE",0,1,0,0,0,N/A
2596228,"May 12, 2023",Florida,Jacksonville,"7100 Timmerman Ln",1,0,0,0,0,N/A
2597307,"May 12, 2023",Massachusetts,Boston,"Blue Hill Avenue and Harvard St",1,0,0,0,0,N/A
2596211,"May 12, 2023","District of Columbia",Washington,"2600 block of Birney Pl SE",1,0,0,0,0,N/A
2596207,"May 12, 2023","District of Columbia",Washington,"600 block of 46th Pl SE",1,0,0,0,0,N/A
2596202,"May 12, 2023","District of Columbia",Washington,"3700 block of Jay St NE",1,0,0,0,0,N/A
2597299,"May 12, 2023","South Carolina",Columbia,"2500 block of Crofton Way",0,1,0,0,0,N/A
2596155,"May 12, 2023",Nebraska,Blair,"1000 block of Park St",1,1,0,0,0,N/A
2597283,"May 12, 2023",Florida,Ocala,"600 block of Marion Oaks Blvd",0,1,0,0,1,N/A
2597276,"May 12, 2023",Florida,"Delray Beach","5300 Woodland Dr",0,1,0,0,0,N/A
2597273,"May 12, 2023",Texas,Terrell,"402 Virginia St",0,1,0,0,1,N/A
2597223,"May 12, 2023",Maryland,"Upper Marlboro (Largo)","67 Harry S Truman Dr",1,0,0,0,0,N/A
2596238,"May 12, 2023",Florida,"Dunnellon (Citrus Springs)","907 W Anderson Ln",0,1,0,1,0,N/A
2597260,"May 12, 2023",Texas,Dallas,"3000 block of Alabama Ave",1,1,0,0,0,N/A
2597258,"May 12, 2023",Delaware,Wilmington,"1700 block of W 2nd St",1,0,0,0,0,N/A
2597142,"May 12, 2023",Indiana,Daleville,"11000 block of W Corner Rd",1,1,1,0,0,N/A
2597242,"May 12, 2023",Texas,Hallsville,"9000 block of US-80",0,1,0,0,0,N/A
2597237,"May 12, 2023",Michigan,"Constantine Township","60000 block on Maple Rd",0,0,1,0,1,N/A
2596121,"May 12, 2023",Georgia,Atlanta,"3rd St SW and Cottage Grove Ave",1,0,0,0,0,N/A
2597231,"May 12, 2023",Texas,Beaumont,"1750 I-10",0,1,0,0,0,N/A
2596209,"May 12, 2023","District of Columbia",Washington,"15th St and Good Hope Rd SE",1,0,0,0,0,N/A
2596119,"May 12, 2023",Georgia,Atlanta,"2124 Cheshire Bridge Rd NE",1,0,0,0,0,N/A
2597218,"May 12, 2023",Maryland,Laurel,"300 block of Domer Ave",4,0,0,0,0,N/A
2597215,"May 12, 2023",Maryland,"Fort Washington","American Way and Riverhaven Dr",1,0,0,0,0,N/A
2596086,"May 12, 2023",Illinois,Chicago,"8500 block of S Cottage Grove Ave",1,0,0,0,0,N/A
2596606,"May 12, 2023",California,"San Francisco","3rd St and Palou Ave",0,1,0,0,0,N/A
2597200,"May 12, 2023",Georgia,Macon,"Marigold Ave and Dora St",2,0,0,0,0,N/A
2597195,"May 12, 2023",Georgia,Atlanta,"1118 Arkwright Pl SE",1,0,0,0,0,N/A
2597187,"May 12, 2023",Georgia,Scottdale,"Northern Ave",0,1,0,0,0,N/A
2597182,"May 12, 2023",Georgia,Acworth,"4500 block of Wade Green Rd",1,0,0,0,0,N/A
2597175,"May 12, 2023",Georgia,Atlanta,"2044 Sylvan Rd SW",0,1,0,0,0,N/A
2597170,"May 12, 2023","District of Columbia",Washington,N/A,1,0,0,0,0,N/A
2596076,"May 12, 2023",California,Stockton,"800 block of Flint Ave",0,1,0,0,1,N/A
2597154,"May 12, 2023",California,"Moreno Valley","12900 block of Day St",0,1,0,0,0,N/A
2597149,"May 12, 2023",California,"Los Angeles","Hill St and 1st St",0,1,0,0,0,N/A
2597139,"May 12, 2023",California,"Los Angeles","E 74th St",0,1,0,0,0,N/A
2597136,"May 12, 2023",Texas,Dallas,"4600 block of Lake Ave",0,1,0,0,0,N/A
2596779,"May 12, 2023",Texas,Irving,"TX-183 and Belt Line Rd",0,0,0,1,0,N/A
2596883,"May 12, 2023",Indiana,Indianapolis,"1355 N Kealing Ave",0,1,0,0,0,N/A
2595965,"May 12, 2023",Illinois,Chicago,"8500 block of S Commercial Ave",0,1,0,0,0,N/A
2595953,"May 12, 2023",Illinois,Chicago,"6400 block of S Damen Ave",0,1,0,0,0,N/A
