"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
3036257,"September 28, 2024",Texas,Houston,"W Little York Rd and W Montgomery Rd",0,1,0,0,0,N/A
3036248,"September 28, 2024",Ohio,Cleveland,"E 124th St and Craven Ave",0,1,0,0,0,N/A
3036245,"September 28, 2024",Illinois,Chicago,"4248 W 63rd St",0,2,0,0,0,N/A
3036238,"September 28, 2024",Mississippi,Columbus,"200 block of Constance Ln",1,1,0,0,0,N/A
3036230,"September 28, 2024",Illinois,Chicago,"6900 S Prairie Ave",0,1,0,0,0,N/A
3036225,"September 28, 2024",Illinois,Chicago,"2500 block of W 61st St",0,1,0,0,0,N/A
3036221,"September 28, 2024",Wisconsin,Milwaukee,N/A,0,1,0,0,0,N/A
3036219,"September 28, 2024",Ohio,Cincinnati,"7300 block of Hamilton Ave",1,0,0,0,0,N/A
3036209,"September 28, 2024",Virginia,Franklin,"Dorchester St",1,0,0,0,0,N/A
3036182,"September 28, 2024",Oregon,Portland,"7828 SE Aspen Summit Dr",1,0,0,0,0,N/A
3036195,"September 28, 2024",Illinois,Chicago,"700 block of N Lawndale Ave",0,3,0,0,0,N/A
3036185,"September 28, 2024",California,"South Gate","9000 block of San Luis Ave",1,1,0,0,0,N/A
3036155,"September 28, 2024",Maryland,Severn,"1800 block of Oriole Ct",0,1,0,0,0,N/A
3036151,"September 28, 2024",California,Palmdale,"E Ave Q and 4th St E",0,1,0,0,0,N/A
3036148,"September 28, 2024",Alabama,Fairfield,"6400 Kelco Pl",1,0,0,0,1,N/A
3036133,"September 28, 2024",Alabama,Montgomery,"3250 Wetumpka Hwy",1,0,0,0,0,N/A
3036055,"September 28, 2024","District of Columbia",Washington,"2700 block of Langston Pl SE",1,3,0,0,0,N/A
3036124,"September 28, 2024","North Carolina",Raleigh,"1400 block of E Lane St",0,1,0,0,0,N/A
3036122,"September 28, 2024",Kentucky,Louisville,"3200 block of Taylor Blvd",0,1,0,0,0,N/A
3036119,"September 28, 2024","West Virginia",Weirton,"Elm St",1,0,0,0,1,N/A
3036083,"September 28, 2024",Michigan,"Grand Haven","14988 178th Ave",2,0,0,0,0,N/A
3036073,"September 28, 2024",Arkansas,"North Little Rock (McAlmont)","4700 AR-161",1,0,0,0,0,N/A
3036052,"September 28, 2024",Virginia,Alexandria,"1100 block of Wythe St",0,3,0,0,0,N/A
3036047,"September 28, 2024",Connecticut,Hartford,"471 Wethersfield Ave",0,1,0,0,0,N/A
3036040,"September 28, 2024","South Carolina","Hilton Head Island","Fiddlers Cove",1,0,0,0,1,N/A
3036036,"September 28, 2024",Georgia,Atlanta,"898 Oak St SW",1,0,0,0,0,N/A
3036022,"September 28, 2024",Pennsylvania,Philadelphia,"6000 block of Torresdale Ave",0,1,0,0,0,N/A
3035863,"September 28, 2024",Illinois,Chicago,"9513 S Ave N",1,0,0,0,0,N/A
3035974,"September 28, 2024",Louisiana,Shreveport,N/A,0,1,0,0,0,N/A
3035928,"September 28, 2024",Florida,Jacksonville,"Timawatha Ave",0,1,0,0,0,N/A
3035810,"September 28, 2024",California,"Los Angeles","E 77th St and Main St",0,1,0,0,0,N/A
3035819,"September 28, 2024",Illinois,Chicago,"3400 block of W Fulton Blvd",0,1,0,0,0,N/A
3035814,"September 28, 2024",California,"South Gate","9000 block of San Luis Ave",1,0,0,0,0,N/A
3035104,"September 27, 2024",Washington,Vancouver,"5400 Block of NE 71st St",0,0,1,0,0,N/A
3035621,"September 27, 2024",Pennsylvania,Pittsburgh,N/A,0,1,0,0,0,N/A
3035615,"September 27, 2024",Virginia,Petersburg,"1600 block of E Tuckahoe St",0,1,0,0,0,N/A
3036255,"September 27, 2024",Ohio,"Cleveland (South Euclid)","Stilmore Rd",0,1,0,0,0,N/A
3035558,"September 27, 2024",Pennsylvania,"Upper Darby","230 S 69th St",0,1,0,0,1,N/A
3035597,"September 27, 2024",Maryland,"Indian Head","5100 block of Indian Head Hwy",1,1,0,0,0,N/A
3036241,"September 27, 2024",Texas,"Denton (county)","I-35 W",0,1,0,0,0,N/A
3036009,"September 27, 2024",Louisiana,Alexandria,"1438 MacArthur Dr",0,1,0,0,1,N/A
3036234,"September 27, 2024",Texas,Dallas,"3550 E Overton Rd",0,1,0,0,0,N/A
3035540,"September 27, 2024",Pennsylvania,Philadelphia,"W Olney Ave and N Broad St",0,1,0,0,0,N/A
3035532,"September 27, 2024",Ohio,"Dayton (Trotwood)","4200 block of Fruedenberger Ave",1,1,0,0,0,N/A
3035527,"September 27, 2024",Ohio,Dayton,"300 block of Xenia Ave",0,1,0,0,0,N/A
3036216,"September 27, 2024",Virginia,Salem,"Hale Ave",1,0,0,0,1,N/A
3035516,"September 27, 2024",Pennsylvania,Philadelphia,"800 block of Spring Garden St",0,1,0,0,0,N/A
3035520,"September 27, 2024",Pennsylvania,Philadelphia,"7200 block of Bingham St",0,1,0,0,0,N/A
3035757,"September 27, 2024",Texas,"Corpus Christi","1400 block of Devon Dr",1,0,0,0,1,N/A
3035483,"September 27, 2024",Florida,Miami,"6000 block of SW 36th Ct",1,0,1,0,0,N/A
