"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
2434400,"October 10, 2022",Michigan,Detroit,"N Green St and Chatfield St",0,1,N/A
2434377,"October 10, 2022",Indiana,"Indianapolis (Lawrence)","4600 block of Richardt Ave",0,2,N/A
2434391,"October 10, 2022",Indiana,Indianapolis,"2100 block of Braeburn East Dr",0,1,N/A
2434365,"October 10, 2022",Maryland,Baltimore,"4200 block of Curtis Ave",0,1,N/A
2434361,"October 10, 2022",Maryland,Baltimore,"2600 block of E Chase St",1,0,N/A
2434347,"October 10, 2022",California,Lancaster,"43500 block of 17th St W",1,0,N/A
2434339,"October 10, 2022","District of Columbia",Washington,"14th St NW and Columbia Rd NW",0,2,N/A
2434335,"October 10, 2022",Louisiana,"Baton Rouge","1457 Terrace Ave",1,0,N/A
2434332,"October 10, 2022","District of Columbia",Washington,"Otis Pl NW and Warder St NW",0,1,N/A
2434328,"October 10, 2022","North Carolina",Raleigh,"1321 Park Glen Dr",0,1,N/A
2434326,"October 10, 2022",Arkansas,Jacksonville,"300 block of Marshall Rd",1,0,N/A
2434323,"October 10, 2022",Louisiana,"Baton Rouge","1873 W Muriel Dr",0,2,N/A
2434301,"October 10, 2022",Louisiana,"Baton Rouge","S 15th St and Terrace Ave",1,0,N/A
2434287,"October 10, 2022","North Carolina",Waxhaw,"1400 Cuthbertson Rd",0,0,N/A
2434284,"October 10, 2022",Pennsylvania,Finleyville,"PA-88 and Washington Ave",1,0,N/A
2434138,"October 10, 2022",Maryland,"Takoma Park","726 Fairview Ave",0,2,N/A
2434243,"October 10, 2022",Georgia,Augusta,"2822 Peach Orchard Rd",1,0,N/A
2434201,"October 10, 2022",Minnesota,Minneapolis,"2900 block of Oliver Ave N",0,1,N/A
2434197,"October 10, 2022",Michigan,Detroit,"Bennett St and Fenton St",1,1,N/A
2434223,"October 10, 2022",Illinois,Chicago,"4300 block of S Wood Ave",0,1,N/A
2434215,"October 10, 2022",Illinois,Chicago,"7800 block of S State St",0,1,N/A
2434193,"October 10, 2022",Illinois,Chicago,"5700 block of S Maryland Ave",0,1,N/A
2434189,"October 10, 2022",Illinois,Chicago,N/A,0,1,N/A
2434164,"October 10, 2022",Michigan,Detroit,"Alcoy Ave and Bringard Dr",0,1,N/A
2434142,"October 10, 2022",Illinois,Chicago,"6000 block of N Leader Ave",0,1,N/A
2434111,"October 10, 2022",Illinois,Chicago,"2800 block of S Homan Ave",0,1,N/A
2434105,"October 10, 2022",Illinois,Chicago,"I-90 and W Ohio St",0,3,N/A
2434019,"October 9, 2022","New York",Bronx,"1880 Valentine Ave",0,1,N/A
2434008,"October 9, 2022",Louisiana,"New Orleans","1800 block of Port St",1,0,N/A
2434006,"October 9, 2022","South Carolina",Lexington,"809 E Main St",0,1,N/A
2433608,"October 9, 2022",Louisiana,Hammond,"St Paul Loop",1,0,N/A
2433961,"October 9, 2022","New York",Brooklyn,"267 Osborn St",0,1,N/A
2433934,"October 9, 2022","New York",Brooklyn,"Schermerhorn St",0,1,N/A
2433566,"October 9, 2022",Texas,"San Antonio","2929 Rigsby Ave",2,1,N/A
2433925,"October 9, 2022",Texas,"San Antonio","5400 block of Military Dr",0,1,N/A
2433918,"October 9, 2022",Minnesota,Minneapolis,"3100 block of N Morgan Ave",0,1,N/A
2433910,"October 9, 2022",Texas,Odessa,TX-338,1,0,N/A
2433889,"October 9, 2022","New York",Brooklyn,"2957 Avenue W",0,1,N/A
2433898,"October 9, 2022",Texas,Lubbock,"1900 block of 66th St",0,1,N/A
2433895,"October 9, 2022","New York",Shirley,"58 St George Dr W",0,2,N/A
2433887,"October 9, 2022","New York",Bronx,"500 E 134th St",0,1,N/A
2433551,"October 9, 2022",Texas,"Prairie View","20500 block of Pine Island Rd",0,3,N/A
2433868,"October 9, 2022",Pennsylvania,Pittsburgh,"Brushton Ave and Frankstown Ave",0,1,N/A
2433863,"October 9, 2022",Texas,Plano,"Medalist Dr and Alma Dr",0,1,N/A
2433850,"October 9, 2022","North Carolina",Charlotte,"Starmount Dr and South Blvd",0,1,N/A
2433848,"October 9, 2022",Texas,Killeen,"200 block of Evergreen Dr",1,0,N/A
2433841,"October 9, 2022","North Carolina",Wilmington,"300 block of Williamson Dr",1,2,N/A
2433813,"October 9, 2022","North Carolina",Greensboro,"E Florida St and S O Henry Blvd",1,0,N/A
2433831,"October 9, 2022","North Carolina",Kinston,"1225 W New Bern Rd",0,1,N/A
2433827,"October 9, 2022",Colorado,"Grand Junction","756 North Ave",0,2,N/A
2433824,"October 9, 2022",Maryland,Baltimore,"200 block of S Augusta Ave",0,1,N/A
2433817,"October 9, 2022","North Carolina",Lexington,"Spruce St",0,1,N/A
2433810,"October 9, 2022",Colorado,Aurora,"S Buckley Rd and E Mississippi Ave",0,2,N/A
2433806,"October 9, 2022",Maryland,Fairwood,"4600 block of Dr Beans Legacy Cir",1,0,N/A
2433780,"October 9, 2022","North Carolina",Charlotte,"1905 Eastway Dr",1,0,N/A
2433766,"October 9, 2022",Missouri,"Maryland Heights","11700 block of Dunlap Industrial Blvd",0,1,N/A
2433756,"October 9, 2022",Virginia,Richmond,"1900 block of Q St",1,0,N/A
2433734,"October 9, 2022",Illinois,Chicago,"N Kildare Ave and W Kamerling Ave",0,1,N/A
2433743,"October 9, 2022",Nevada,Reno,"Museum Dr",1,0,N/A
2433731,"October 9, 2022",Pennsylvania,Philadelphia,"400 block of E Allegheny Ave",0,1,N/A
2433671,"October 9, 2022",Pennsylvania,Philadelphia,"W Courtland St and 4th St",0,1,N/A
2433655,"October 9, 2022",Pennsylvania,Philadelphia,"3100 block of Kensington Ave",0,1,N/A
2433721,"October 9, 2022",Pennsylvania,Philadelphia,"5200 block of Sydenham St",1,0,N/A
2433719,"October 9, 2022",Virginia,Suffolk,"US-58 W and Pitchkettle Rd",0,1,N/A
2433633,"October 9, 2022",Michigan,Detroit,"15400 block of Mark Twain St",0,1,N/A
2433692,"October 9, 2022",Georgia,Athens,"200 block of W Clayton St",0,2,N/A
2433685,"October 9, 2022",Tennessee,Memphis,"4770 Riverdale Rd",1,0,N/A
2433650,"October 9, 2022",Indiana,Anderson,"2200 block of Fulton St",1,0,N/A
2434393,"October 9, 2022",Illinois,Peoria,"900 block of W. Lincoln Ave",0,1,N/A
2433680,"October 9, 2022",Georgia,"Warner Robins","Todd Cir",1,0,N/A
2433839,"October 9, 2022",Pennsylvania,Spangler,"100 block of Herk Kline Ln",0,1,N/A
2433555,"October 9, 2022",Indiana,Indianapolis,"100 block of N Euclid Ave",1,0,N/A
2434133,"October 9, 2022",Indiana,Camby,"8543 E Landersdale Rd",2,0,N/A
2434371,"October 9, 2022",Indiana,Evansville,"Hatfield Dr",0,1,N/A
2433657,"October 9, 2022",Florida,Tampa,"E 7th Ave",0,1,N/A
2433877,"October 9, 2022",Texas,Houston,"4100 block of Rain Willow Ct",2,0,N/A
2433624,"October 9, 2022",Michigan,Detroit,"Meyers Rd and Wadsworth Ave",2,0,N/A
2434351,"October 9, 2022",Maryland,Severn,"8200 block of Consett Ct",0,1,N/A
2434345,"October 9, 2022",Pennsylvania,Chester,"2100 block of S Williams Cir",1,0,N/A
2434341,"October 9, 2022","North Carolina",Durham,"4801 Danube Ln",0,1,N/A
2434337,"October 9, 2022",Louisiana,"La Place (Laplace)","1400 block of Van Arpel Dr",1,0,N/A
2433613,"October 9, 2022",Arkansas,"Little Rock","200 block of W 4th St",1,0,N/A
2433603,"October 9, 2022",Alabama,"Birmingham (Ensley)","1900 block of 28th St",1,0,N/A
2434308,"October 9, 2022",Pennsylvania,Reading,N/A,0,1,N/A
2433615,"October 9, 2022",Alabama,Decatur,"1200 block of Pennylane",1,0,N/A
2434310,"October 9, 2022","North Carolina","Winston Salem (Winston-salem)","Cole Rd and Tara Ct",0,1,N/A
2434303,"October 9, 2022",Kansas,Leawood,"11540 Cherokee Ct",0,1,N/A
2433595,"October 9, 2022",Indiana,"Fort Wayne","905 E Washington Blvd",0,1,N/A
2434291,"October 9, 2022",Illinois,"Rock Island","1500 block of 8th St",1,0,N/A
2434289,"October 9, 2022",Delaware,"Cedar Rapids","2200 Block of C St SW",0,1,N/A
2433588,"October 9, 2022",Florida,Jacksonville,"McCormick Rd and Kernan Blvd",0,1,N/A
2434279,"October 9, 2022",Delaware,Wilmington,"300 block of N Harrison St",1,1,N/A
2434277,"October 9, 2022",Delaware,Dover,"1057 Walker Rd",0,1,N/A
2433581,"October 9, 2022",Indiana,Angola,"400 block of N Elizabeth St",3,0,N/A
2433537,"October 9, 2022",Maryland,Baltimore,"1700 E Cold Spring Ln",0,1,N/A
