"Incident Date",State,"City Or County",Address,"# Killed","# Injured"
"September 13, 2021",Illinois,Chicago,"8700 block of S State",0,1
"September 12, 2021",Texas,Temple,"900 block of South 24th St",0,4
"September 12, 2021",Michigan,Detroit,"Arlington St and Halleck St",1,5
"September 12, 2021",Maryland,"District Heights (Forestville)","7614 Marlboro Pike",1,2
"September 12, 2021",Nevada,"Las Vegas","4375 Boulder Hwy",0,1
"September 12, 2021","New York",Cayuta,"6011 NY-13",0,1
"September 12, 2021",Washington,Seattle,"Aurora Ave N and N 117th St",0,3
"September 12, 2021","New Mexico","Santa Fe","Lois Ln",0,1
"September 12, 2021",Maryland,Baltimore,"3900 block of Cottage Ave",0,1
"September 12, 2021",Maryland,Baltimore,"200 block of S Payson St",0,3
"September 12, 2021",Maryland,Baltimore,"2500 block of Ashton St",0,1
"September 12, 2021",Texas,"San Antonio","W Houston St and N Frio St",0,1
"September 12, 2021",Louisiana,"New Orleans","N Galvez St and Bienville St",0,1
"September 12, 2021","New York",Syracuse,"309 Hawley Ave",0,1
"September 12, 2021",Texas,Lubbock,"E Colgate St and N Zenith Ave",1,0
"September 12, 2021",Ohio,Columbus,"Thurman Ave and Blackberry Alley",0,1
"September 12, 2021",Virginia,Hopewell,"Tabb Ave",0,1
"September 12, 2021",California,Fresno,"Winery Ave and Leisure Ave",0,1
"September 12, 2021",Missouri,"Saint Louis","3000 block of N Florissant Ave",1,0
"September 12, 2021",Virginia,Norfolk,"1400 block of Norcova Ave",1,0
"September 12, 2021",Tennessee,Nashville,"4th Ave S",1,1
"September 12, 2021",Missouri,"Saint Louis","5700 block of Floy Ave",0,1
"September 12, 2021",Missouri,"Saint Louis","1400 block of Hamilton Ave",0,1
"September 12, 2021",Alabama,Huntsville,"Oakwood Ave and Meridian St",1,0
"September 12, 2021",Missouri,"Saint Louis","N 13th St and Convention Plz",1,0
"September 12, 2021",Tennessee,Memphis,"5300 block of Horseshoe Tr",0,1
"September 12, 2021","New York",Brooklyn,"354 East 54 St",1,0
"September 12, 2021",Missouri,"Saint Louis","1000 block of Spruce St",0,2
"September 12, 2021",Tennessee,Memphis,"Amarillo St and McCool Ave",2,0
"September 12, 2021","New York","Corona (Queens)","Beach 35th St",1,0
"September 12, 2021","New York","New York (Manhattan)","300 West 128th St",1,0
"September 12, 2021",Missouri,"Kansas City","Broadway Blvd and Westport Rd",1,0
"September 12, 2021",Tennessee,Chattanooga,"Long St",0,1
"September 12, 2021",Kentucky,Paducah,"1600 block of Martin Luther King Jr Dr",1,0
"September 12, 2021",Illinois,Chicago,"3600 block of W 56th St",0,1
"September 12, 2021",California,Concord,CA-242,0,0
"September 12, 2021",Michigan,"Mount Pleasant","E High St and S Kinney Ave",0,2
"September 12, 2021",Pennsylvania,Erie,"1100 block of E 26th St",0,2
"September 12, 2021",Indiana,Gary,"Frank Borman Expy and Burr St",0,3
"September 12, 2021",Michigan,Detroit,"2867 Seven Mile E",1,0
"September 12, 2021","District of Columbia",Washington,"5000 Block of Benning Rd SE",0,1
